"","row","column","cor","p","p.adj"
"1","Algae","Bryozoa",-0.820782681668123,0.0885870053135438,0.416352154647312
"2","Algae","Cnidaria",-0.615587011251092,0.268997770115822,0.645594648277973
"3","Bryozoa","Cnidaria",0.368421052631579,0.541750905794689,0.882855818862372
"4","Algae","Other",-0.3,0.623837664781073,0.882855818862372
"5","Bryozoa","Other",-0.153896752812773,0.804828816608063,0.924234958132452
"6","Cnidaria","Other",0.66688592885535,0.218893981313232,0.606167948252026
"7","Algae","Soft.Substrate",-0.9,0.0373860734684985,0.364673937184505
"8","Bryozoa","Soft.Substrate",0.974679434480896,0.00481823046819851,0.173456296855147
"9","Cnidaria","Soft.Substrate",0.359092423229804,0.55281474664335,0.882855818862372
"10","Other","Soft.Substrate",-0.1,0.872888571569538,0.924234958132452
"11","Algae","Annelida",-0.288675134594813,0.637618091400602,0.882855818862372
"12","Bryozoa","Annelida",-0.148087219439773,0.812140927593836,0.924234958132452
"13","Cnidaria","Annelida",0.444261658319319,0.453549347169085,0.859356657794056
"14","Other","Annelida",0.288675134594813,0.637618091400602,0.882855818862372
"15","Soft.Substrate","Annelida",0,1,1
"16","Algae","Chordata",-0.447213595499958,0.450184855752101,0.859356657794056
"17","Bryozoa","Chordata",0.802955068546966,0.101837970377407,0.416352154647312
"18","Cnidaria","Chordata",0.229415733870562,0.710481725426777,0.890920110054769
"19","Other","Chordata",-0.111803398874989,0.857944617605099,0.924234958132452
"20","Soft.Substrate","Chordata",0.670820393249937,0.21516994256955,0.606167948252026
"21","Annelida","Chordata",-0.645497224367903,0.239442598636003,0.615709539349722
"22","Algae","Porifera",-0.894427190999916,0.0405193263538339,0.364673937184505
"23","Bryozoa","Porifera",0.802955068546966,0.101837970377407,0.416352154647312
"24","Cnidaria","Porifera",0.229415733870562,0.710481725426777,0.890920110054769
"25","Other","Porifera",0.111803398874989,0.857944617605099,0.924234958132452
"26","Soft.Substrate","Porifera",0.894427190999916,0.0405193263538339,0.364673937184505
"27","Annelida","Porifera",0,1,1
"28","Chordata","Porifera",0.5,0.39100221895577,0.828004698965161
"29","Algae","Hard.Substrate",NA,NA,NA
"30","Bryozoa","Hard.Substrate",NA,NA,NA
"31","Cnidaria","Hard.Substrate",NA,NA,NA
"32","Other","Hard.Substrate",NA,NA,NA
"33","Soft.Substrate","Hard.Substrate",NA,NA,NA
"34","Annelida","Hard.Substrate",NA,NA,NA
"35","Chordata","Hard.Substrate",NA,NA,NA
"36","Porifera","Hard.Substrate",NA,NA,NA
"37","Algae","Cyanobacteria",NA,NA,NA
"38","Bryozoa","Cyanobacteria",NA,NA,NA
"39","Cnidaria","Cyanobacteria",NA,NA,NA
"40","Other","Cyanobacteria",NA,NA,NA
"41","Soft.Substrate","Cyanobacteria",NA,NA,NA
"42","Annelida","Cyanobacteria",NA,NA,NA
"43","Chordata","Cyanobacteria",NA,NA,NA
"44","Porifera","Cyanobacteria",NA,NA,NA
"45","Hard.Substrate","Cyanobacteria",NA,NA,NA
"46","Algae","Echinodermata",NA,NA,NA
"47","Bryozoa","Echinodermata",NA,NA,NA
"48","Cnidaria","Echinodermata",NA,NA,NA
"49","Other","Echinodermata",NA,NA,NA
"50","Soft.Substrate","Echinodermata",NA,NA,NA
"51","Annelida","Echinodermata",NA,NA,NA
"52","Chordata","Echinodermata",NA,NA,NA
"53","Porifera","Echinodermata",NA,NA,NA
"54","Hard.Substrate","Echinodermata",NA,NA,NA
"55","Cyanobacteria","Echinodermata",NA,NA,NA
"56","Algae","Mollusca",NA,NA,NA
"57","Bryozoa","Mollusca",NA,NA,NA
"58","Cnidaria","Mollusca",NA,NA,NA
"59","Other","Mollusca",NA,NA,NA
"60","Soft.Substrate","Mollusca",NA,NA,NA
"61","Annelida","Mollusca",NA,NA,NA
"62","Chordata","Mollusca",NA,NA,NA
"63","Porifera","Mollusca",NA,NA,NA
"64","Hard.Substrate","Mollusca",NA,NA,NA
"65","Cyanobacteria","Mollusca",NA,NA,NA
"66","Echinodermata","Mollusca",NA,NA,NA
"67","Algae","live_coverage",0.8,0.104088038661828,0.416352154647312
"68","Bryozoa","live_coverage",-0.410391340834062,0.492535781702798,0.882855818862372
"69","Cnidaria","live_coverage",-0.718184846459608,0.171795304907989,0.606167948252026
"70","Other","live_coverage",-0.8,0.104088038661828,0.416352154647312
"71","Soft.Substrate","live_coverage",-0.5,0.39100221895577,0.828004698965161
"72","Annelida","live_coverage",-0.288675134594813,0.637618091400602,0.882855818862372
"73","Chordata","live_coverage",-0.223606797749979,0.717685644210786,0.890920110054769
"74","Porifera","live_coverage",-0.670820393249937,0.21516994256955,0.606167948252026
"75","Hard.Substrate","live_coverage",NA,NA,NA
"76","Cyanobacteria","live_coverage",NA,NA,NA
"77","Echinodermata","live_coverage",NA,NA,NA
"78","Mollusca","live_coverage",NA,NA,NA
